[755957,381028] [765021,356980]
[609971,119028] [621003,95999]
[268997,426926] [295002,428023]
[668999,484032] [688027,466983]
[405968,540000] [423003,520975]
[601985,77997] [621031,95001]
[961969,491005] [962320,464996]
[193958,195996] [196035,222018]
[914750,155995] [916053,182004]
[276996,759775] [303009,760021]
[887972,756003] [890045,729992]
[272998,55872] [299004,56015]
[564012,174002] [560893,147997]
[440990,383970] [456019,405020]
[787974,905041] [809018,889997]
[435957,224000] [448032,200989]
[615002,528001] [604994,503992]
[705980,145993] [731010,154030]
[285992,550990] [308014,565006]
[792984,667034] [812014,648980]
[76970,598985] [101017,610025]
[527993,625978] [547027,644035]
[340989,686920] [367002,692107]
[313986,355969] [331012,376003]
[930944,811986] [936050,838005]
[444981,654004] [462056,633981]
[91949,815001] [105022,791988]
[733960,413986] [743041,439012]
[435998,224993] [461004,234065]
[753984,383959] [767003,407010]
[145914,60991] [152073,87010]
[174985,819977] [190009,842049]
[325998,313921] [353004,314297]
[418962,938000] [428036,912977]
[102998,480056] [127052,467988]
[439960,958007] [466019,951974]
[162921,655999] [163031,683000]
[521978,475919] [548006,483119]
[864951,407970] [875084,433008]
[767978,407035] [791014,392976]
[606986,938012] [619019,913993]
[759983,434005] [767039,407986]
[372936,159004] [383046,133997]
[470999,731002] [491004,712990]
[650987,598038] [678005,593938]
[750988,205118] [778003,200972]
[876999,826058] [894017,804980]
[701984,415007] [726018,401991]
[64994,900977] [90016,912045]
[891996,200996] [908041,223009]
[491975,712948] [516005,726013]
[857996,41010] [871097,16999]
[960940,510994] [970009,537015]
[725990,31001] [751012,19996]
[312957,144992] [339002,154035]
[999,212370] [29005,211564]
[613994,979995] [641021,986016]
[559993,932969] [583017,948005]
[173996,466973] [195006,485038]
[378999,676902] [406000,684032]
[244997,794030] [273003,792943]
[332969,44016] [358028,31995]
[729999,107106] [758000,105878]
[357998,324961] [370010,350029]
[614997,598983] [629015,623021]
[821976,58050] [846001,43995]
[964985,342965] [983024,364005]
[558992,123015] [575014,99992]
[363994,651985] [378012,676002]
[847984,313957] [873005,327046]
[327967,73011] [332076,44992]
[954999,888050] [971013,864994]
[65997,65968] [79064,91002]
[419969,565998] [431050,592007]
[397984,822978] [417031,844002]
[732991,638009] [742041,610997]
[969973,978010] [992020,959984]
[155993,191024] [171006,166979]
[863975,961991] [870114,990002]
[488991,282038] [515018,269991]
[935984,451941] [962008,464008]
[771973,538961] [784006,565026]
[943997,637932] [973001,638202]
[503998,829101] [533001,828596]
[509996,300100] [538009,292932]
[380946,815004] [381120,785997]
[512983,248008] [525044,221997]
[893975,353991] [917007,371018]
[445810,170994] [448059,200006]
[269057,479999] [267963,509004]
[282969,653013] [306021,635997]
[699985,110086] [729003,107966]
[182999,285882] [212003,288007]
[433996,840001] [459016,825975]
[574071,733993] [570987,763018]
[780031,578994] [775976,608007]
[274977,133008] [286061,105981]
[760974,752986] [774012,779006]
[213995,627016] [242002,618966]
[504973,392997] [510020,422010]
